key,group_name,group_constraint_set,electrical_constraint_set,length_mil,length_mm,delay_ns,rtl,PCB,total,target,
IOB26A,DP2,95,95,397.9,10.1067,,PMOD0,50,60.1067,49.8933,F2
IOB26B,DP2,95,95,397.1,10.0863,,PMOD1,50,60.0863,49.9137,F1
IOB4A,DP1,95,95,355.1,9.0195,,PMOD2,50,59.0195,50.9805,B2
IOB4B,DP1,95,95,355.5,9.0297,,PMOD3,50,59.0297,50.9703,C2
IOB12B,M0_D3,95,,340,8.636,,PMOD4,50,58.636,51.364,E1
IOB14B,M0_D3,95,,309.1,7.8511,,PMOD5,50,57.8511,52.1489,D1
IOB56A,DP3,95,95,525.8,13.3553,,PMOD6,50,63.3553,46.6447,B3
IOB56B,DP3,95,95,526.2,13.3655,,PMOD7,50,63.3655,46.6345,C3
IOB89A,DP4,95,95,416.7,10.5842,,,,,,
IOB89B,DP4,95,95,417,10.5918,,,,,,
IOB91A,DP5,95,95,555.4,14.1072,,,,,,
IOB91B,DP5,95,95,555.6,14.1122,,,,,,
IOL3A,DP6,95,95,414.4,10.5258,,,,,,
IOL3B,DP6,95,95,414.8,10.5359,,,,,,
IOL5A,DP7,95,95,331.9,8.4303,,,,,,
IOL5B,DP7,95,95,331.9,8.4303,,,,,,
IOL9A,DP8,95,95,306.8,7.7927,,,,,,
IOL9B,DP8,95,95,307.7,7.8156,,,,,,
IOL12A,DP9,95,95,364.9,9.2685,,,,,,
IOL12B,DP9,95,95,365.7,9.2888,,,,,,
IOL14A,DP10,95,95,462.2,11.7399,,,,,,
IOL14B,DP10,95,95,461.9,11.7323,,,,,,
IOR18A,DP11,95,95,467.6,11.877,,,,,,
IOR18B,DP11,95,95,468.2,11.8923,,,,,,
IOR20A,DP12,95,95,478.4,12.1514,,,,,,
IOR20B,DP12,95,95,478.2,12.1463,,,,,,
IOR22A,DP13,95,95,433.1,11.0007,,,,,,
IOR22B,DP13,95,95,432.5,10.9855,,,,,,
IOR24A,DP14,95,95,376.7,9.5682,,,,,,
IOR24B,DP14,95,95,376.6,9.5656,,,,,,
IOR31A,DP15,95,95,731.6,18.5826,,,,,,
IOR31B,DP15,95,95,731.1,18.5699,,,,,,
IOR33A,DP16,95,95,596.7,15.1562,,,,,,
IOR33B,DP16,95,95,591.9,15.0343,,,,,,
IOT1A,DP17,95,95,199.5,5.0673,,,,,,
IOT1B,DP17,95,95,199.8,5.0749,,,,,,
IOT3A,DP18,95,95,220.3,5.5956,,,,,,
IOT3B,DP18,95,95,221,5.6134,,,,,,
IOT7A,DP19,95,95,242,6.1468,,,,,,
IOT7B,DP19,95,95,242.4,6.157,,,,,,
IOT11A,DP20,95,95,371.9,9.4463,,,,,,
IOT11B,DP20,95,95,371.2,9.4285,,,,,,
IOT13A,DP21,95,95,183.1,4.6507,,,,,,
IOT13B,DP21,95,95,182.2,4.6279,,,,,,
IOT15A,DP22,95,95,449.4,11.4148,,,,,,
IOT15B,DP22,95,95,449.8,11.4249,,,,,,
IOT19A,DP23,95,95,495.1,12.5755,,,,,,
IOT19B,DP23,95,95,494.8,12.5679,,,,,,
IOT21A,DP24,95,95,595.5,15.1257,,,,,,
IOT21B,DP24,95,95,595.3,15.1206,,,,,,
IOT23A,DP25,95,95,546.2,13.8735,,,,,,
IOT23B,DP25,95,95,546.7,13.8862,,,,,,
IOT56A,DP26,95,95,207.6,5.273,,,,,,
IOT56B,DP26,95,95,208.5,5.2959,,,,,,
IOT58A,DP27,95,95,450.3,11.4376,,,,,,
IOT58B,DP27,95,95,450.5,11.4427,,,,,,
IOT61A,DP28,95,95,391.5,9.9441,,,,,,
IOT61B,DP28,95,95,391.1,9.9339,,,,,,
IOT63A,DP29,95,95,412.2,10.4699,,,,,,
IOT63B,DP29,95,95,412.4,10.475,,,,,,
IOT66A,DP30,95,95,323.7,8.222,,,,,,
IOT66B,DP30,95,95,324.3,8.2372,,,,,,
IOT68A,DP31,95,95,357.4,9.078,,,,,,
IOT68B,DP31,95,95,357.9,9.0907,,,,,,
IOT72A,DP32,95,95,721.8,18.3337,,,,,,
IOT72B,DP32,95,95,722.2,18.3439,,,,,,
M0_CKN,M0_CK,95,95,358.2,9.0983,,,,,,
M0_CKP,M0_CK,95,95,358.4,9.1034,,,,,,
M0_D0N,M0_D0,95,95,413.5,10.5029,,,,,,
M0_D0P,M0_D0,95,95,413.2,10.4953,,,,,,
