RTL,pin,SoMネット名,FT601ネット名
ft601_clk,K5,K5_IOT63B,FT601_CLK
ft601_txe_n,G2,G2_IOR24A_40P,FT601_TXE
ft601_rxf_n,K4,K4_IOR22B_40P,FT601_RXF
ft601_siwu_n,J4,J4_IOR22A_40P,FT601_SIWU
ft601_wr_n,K2,K2_IOR20B_40P,FT601_WR
ft601_rd_n,K1,K1_IOR20A_40P,FT601_RD
ft601_oe_n,L1,L1_IOR18B_40P,FT601_OE
ft601_gpio[0],G1,G1_IOR24B_40P,FT601_GPIO0
ft601_gpio[1],L4,L4_IOR31A_40P,FT601_GPIO1
ft601_be[0],J1,J1_IOR33A_40P,FT601_BE0
ft601_be[1],L3,L3_IOR31B_40P,FT601_BE1
ft601_be[2],L4,L4_IOR31A_40P,FT601_BE2
ft601_be[3],G1,G1_IOR24B_40P,FT601_BE3
ft601_data[0],L11,L11_IOT11B,FT601_D0
ft601_data[1],K11,K11_IOT11A,FT601_D1
ft601_data[2],K10,K10_IOT15B_40P,FT601_D2
ft601_data[3],L10,L10_IOT15A_40P,FT601_D3
ft601_data[4],L8,L8_IOT19B_40P,FT601_D4
ft601_data[5],L7,L7_IOT19A_40P,FT601_D5
ft601_data[6],J7,J7_IOT21B_40P,FT601_D6
ft601_data[7],K7,K7_IOT21A_40P,FT601_D7
ft601_data[8],K6,K6_IOT23B_USB_N,FT601_D8
ft601_data[9],L6,L6_IOT23A_USB_P,FT601_D9
ft601_data[10],G5,G5_IOT72B,FT601_D10
ft601_data[11],F5,F5_IOT72A,FT601_D11
ft601_data[12],G8,G8_IOT68B,FT601_D12
ft601_data[13],G7,G7_IOT68A,FT601_D13
ft601_data[14],H7,H7_IOT66B,FT601_D14
ft601_data[15],H8,H8_IOT66A,FT601_D15
ft601_data[16],H5,H5_IOT61A,FT601_D16
ft601_data[17],J5,J5_IOT61B,FT601_D17
ft601_data[18],L5,L5_IOT63A,FT601_D18
ft601_data[19],L9,L9_IOT31A_40P,FT601_D19
ft601_data[20],K9,K9_IOT31B_40P,FT601_D20
ft601_data[21],J8,J8_IOT56A_40P,FT601_D21
ft601_data[22],K8,K8_IOT56B_40P,FT601_D22
ft601_data[23],F7,F7_IOT58A_40P,FT601_D23
ft601_data[24],F6,F6_IOT58B_40P,FT601_D24
ft601_data[25],J11,J11_IOT1A_40P,FT601_D25
ft601_data[26],J10,J10_IOT1B_40P,FT601_D26
ft601_data[27],H11,H11_IOT3A_S1,FT601_D27
ft601_data[28],H10,H10_IOT3B_S2,FT601_D28
ft601_data[29],G11,G11_IOT7A,FT601_D29
ft601_data[30],G4,G4_IOB89A_40P,FT601_D30
ft601_data[31],J2,J2_IOR33B_40P,FT601_D31
ft601_reset_n,L2,L2_IOR18A_40P,FT601_RESET
ft601_wakeup,H4,H4_IOB89B_40P,FT601_WAKEUP
