RTL,pin,SoMネット名,FT601ネット名,SoMデータシート照合キー,SoM内配線長(mm),設計基板_SoM側配線長(mm),設計基板_FT601側配線長(mm),総配線長(mm)
ft601_clk,K5,K5_IOT63B,FT601_CLK,IOT63B,10.4750,13.6397,3.0963,27.2110
ft601_txe_n,G2,G2_IOR24A_40P,FT601_TXE,IOR24A,9.5682,19.2394,5.7567,34.5643
ft601_rxf_n,K4,K4_IOR22B_40P,FT601_RXF,IOR22B,10.9855,18.3737,6.6880,36.0472
ft601_siwu_n,J4,J4_IOR22A_40P,FT601_SIWU,IOR22A,11.0007,,26.5687,37.5694
ft601_wr_n,K2,K2_IOR20B_40P,FT601_WR,IOR20B,12.1463,,26.8854,39.0317
ft601_rd_n,K1,K1_IOR20A_40P,FT601_RD,IOR20A,12.1514,,27.0157,39.1671
ft601_oe_n,L1,L1_IOR18B_40P,FT601_OE,IOR18B,11.8923,,27.3773,39.2696
ft601_gpio[0],G1,G1_IOR24B_40P,FT601_GPIO0,IOR24B,9.5656,19.3437,4.0547,32.9640
ft601_gpio[1],L4,L4_IOR31A_40P,FT601_GPIO1,IOR31A,18.5826,20.0094,4.2667,42.8587
ft601_be[0],J1,J1_IOR33A_40P,FT601_BE0,IOR33A,15.1562,21.3482,2.8648,39.3692
ft601_be[1],L3,L3_IOR31B_40P,FT601_BE1,IOR31B,18.5699,20.6337,3.5439,42.7475
ft601_be[2],L4,L4_IOR31A_40P,FT601_BE2,IOR31A,18.5826,20.0094,4.2267,42.8187
ft601_be[3],G1,G1_IOR24B_40P,FT601_BE3,IOR24B,9.5656,19.3437,4.9096,33.8189
ft601_data[0],L11,L11_IOT11B,FT601_D0,IOT11B,9.4285,39.2077,2.2267,50.8629
ft601_data[1],K11,K11_IOT11A,FT601_D1,IOT11A,9.4463,37.9010,2.2267,49.5740
ft601_data[2],K10,K10_IOT15B_40P,FT601_D2,IOT15B,11.4249,36.1596,2.2267,49.8112
ft601_data[3],L10,L10_IOT15A_40P,FT601_D3,IOT15A,11.4148,34.8177,2.2267,48.4592
ft601_data[4],L8,L8_IOT19B_40P,FT601_D4,IOT19B,12.5679,33.2156,2.1024,47.8859
ft601_data[5],L7,L7_IOT19A_40P,FT601_D5,IOT19A,12.5755,31.8550,2.1024,46.5329
ft601_data[6],J7,J7_IOT21B_40P,FT601_D6,IOT21B,15.1206,30.3772,2.1024,47.6002
ft601_data[7],K7,K7_IOT21A_40P,FT601_D7,IOT21A,15.1257,29.0115,2.1024,46.2396
ft601_data[8],K6,K6_IOT23B_USB_N,FT601_D8,IOT23B,13.8862,25.6892,2.2024,41.7778
ft601_data[9],L6,L6_IOT23A_USB_P,FT601_D9,IOT23A,13.8735,24.4166,2.2024,40.4925
ft601_data[10],G5,G5_IOT72B,FT601_D10,IOT72B,18.3439,22.5174,2.2024,43.0637
ft601_data[11],F5,F5_IOT72A,FT601_D11,IOT72A,18.3337,21.3219,2.2024,41.8580
ft601_data[12],G8,G8_IOT68B,FT601_D12,IOT68B,9.0907,19.9198,2.3267,31.3372
ft601_data[13],G7,G7_IOT68A,FT601_D13,IOT68A,9.0780,18.7304,2.3267,30.1351
ft601_data[14],H7,H7_IOT66B,FT601_D14,IOT66B,8.2372,17.4157,2.3267,27.9796
ft601_data[15],H8,H8_IOT66A,FT601_D15,IOT66A,8.2220,16.2278,2.3032,26.7530
ft601_data[16],H5,H5_IOT61A,FT601_D16,IOT61A,9.9441,11.2727,1.9696,23.1864
ft601_data[17],J5,J5_IOT61B,FT601_D17,IOT61B,9.9339,11.8914,1.9696,23.7949
ft601_data[18],L5,L5_IOT63A,FT601_D18,IOT63A,10.4699,12.4502,1.9696,24.8897
ft601_data[19],L9,L9_IOT31A_40P,FT601_D19,IOT31A,,10.6732,1.9696,12.6428
ft601_data[20],K9,K9_IOT31B_40P,FT601_D20,IOT31B,,11.5055,1.8453,13.3508
ft601_data[21],J8,J8_IOT56A_40P,FT601_D21,IOT56A,5.2730,12.1025,1.8453,19.2208
ft601_data[22],K8,K8_IOT56B_40P,FT601_D22,IOT56B,5.2959,12.7848,1.8453,19.9260
ft601_data[23],F7,F7_IOT58A_40P,FT601_D23,IOT58A,11.4376,13.4091,1.8453,26.6920
ft601_data[24],F6,F6_IOT58B_40P,FT601_D24,IOT58B,11.4427,14.6410,2.0939,28.1776
ft601_data[25],J11,J11_IOT1A_40P,FT601_D25,IOT1A,5.0673,18.5138,2.0939,25.6750
ft601_data[26],J10,J10_IOT1B_40P,FT601_D26,IOT1B,5.0749,19.1585,2.0939,26.3273
ft601_data[27],H11,H11_IOT3A_S1,FT601_D27,IOT3A,5.5956,19.8795,2.0939,27.5690
ft601_data[28],H10,H10_IOT3B_S2,FT601_D28,IOT3B,5.6134,20.8623,2.2064,28.6821
ft601_data[29],G11,G11_IOT7A,FT601_D29,IOT7A,6.1468,21.7209,2.2978,30.1655
ft601_data[30],G4,G4_IOB89A_40P,FT601_D30,IOB89A,10.5842,19.6038,2.3857,32.5737
ft601_data[31],J2,J2_IOR33B_40P,FT601_D31,IOR33B,15.0343,18.5760,2.2181,35.8284
ft601_reset_n,L2,L2_IOR18A_40P,FT601_RESET,IOR18A,11.8770,,28.2640,40.1410
ft601_wakeup,H4,H4_IOB89B_40P,FT601_WAKEUP,IOB89B,10.5918,,33.5251,44.1169
