"ネット名";"ネットクラス";"ネット長 (mm)";"ビア カウント";"ビア長さ (mm)";"配線長 (mm)";"ダイの長さ (mm)";"パッド数";"F.Cu (mm)";"B.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";
"/USB_D_N";"USB3_90ohm と Default";1.9418;0;0.0000;1.9418;0.0000;2;1.9418;0.0000;0.0000;0.0000;
"GND";"Default";84.9559;28;4.7400;80.2159;0.0000;72;78.9054;1.3105;0.0000;0.0000;
"/USB_D_P";"USB3_90ohm と Default";1.9214;0;0.0000;1.9214;0.0000;2;1.9214;0.0000;0.0000;0.0000;
"/FT601_D_P";"USB3_90ohm と Default";6.9253;0;0.0000;6.9253;0.0000;2;6.9253;0.0000;0.0000;0.0000;
"VBUS";"Default";8.8439;0;0.0000;8.8439;0.0000;3;8.8439;0.0000;0.0000;0.0000;
"/FT601_D_N";"USB3_90ohm と Default";8.9899;0;0.0000;8.9899;0.0000;2;8.9899;0.0000;0.0000;0.0000;
"/FT601_D31";"Default";2.2181;0;0.0000;2.2181;0.0000;2;2.2181;0.0000;0.0000;0.0000;
"/FT601_D30";"Default";2.3857;0;0.0000;2.3857;0.0000;2;2.3857;0.0000;0.0000;0.0000;
"/FT601_D29";"Default";2.2978;0;0.0000;2.2978;0.0000;2;2.2978;0.0000;0.0000;0.0000;
"/FT601_D28";"Default";2.2064;0;0.0000;2.2064;0.0000;2;2.2064;0.0000;0.0000;0.0000;
"/H10_IOT3B_S2";"Default";20.8623;0;0.0000;20.8623;0.0000;2;20.8623;0.0000;0.0000;0.0000;
"/G11_IOT7A";"Default";21.7209;0;0.0000;21.7209;0.0000;2;21.7209;0.0000;0.0000;0.0000;
"/G4_IOB89A_40P";"Default";19.4724;0;0.0000;19.4724;0.0000;2;19.4724;0.0000;0.0000;0.0000;
"/J2_IOR33B_40P";"Default";18.7375;0;0.0000;18.7375;0.0000;2;18.7375;0.0000;0.0000;0.0000;
"/FT601_CLK";"Default";3.0963;0;0.0000;3.0963;0.0000;2;3.0963;0.0000;0.0000;0.0000;
"/K5_IOT63B";"Default";14.1249;0;0.0000;14.1249;0.0000;2;14.1249;0.0000;0.0000;0.0000;
"Net-(LED1-K)";"Default";0.0000;0;0.0000;0.0000;0.0000;2;0.0000;0.0000;0.0000;0.0000;
"Net-(LED1-A)";"Default";0.0000;0;0.0000;0.0000;0.0000;2;0.0000;0.0000;0.0000;0.0000;
"+3.3VP";"Default";12.6797;0;0.0000;12.6797;0.0000;11;12.6797;0.0000;0.0000;0.0000;
"/MIPI_SDA";"Default";9.7972;0;0.0000;9.7972;0.0000;3;9.7972;0.0000;0.0000;0.0000;
"Net-(U1-DV10)";"Default";9.2702;3;0.0000;9.2702;0.0000;11;9.2702;0.0000;0.0000;0.0000;
"+3V3";"Default";15.3566;8;0.0000;15.3566;0.0000;14;15.3566;0.0000;0.0000;0.0000;
"VCC";"Default";15.5413;5;0.0000;15.5413;0.0000;21;15.5413;0.0000;0.0000;0.0000;
