Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C7, C74, C8, C9",0402,20,0.1uF,
"C3, C4",0402,2,18pF,
"C5, C6, C71, C72, C77",0603,5,4.7uF,
C73,0402,1,120pF,
"FB1, FB2",0603,2,BLM18SG121TN1,
J1,CONN10_ZX360D-B-10P30_HIR,1,ZX360D-B-10P(30),C598201
J10,PMOD_02x06_2.54mm,1,SSQ-106-02-F-D-RA,
J2,CON_525592253_MOL,1,0525592253,
"J3, J4",CONN_DF40C-60DS_HIR,2,DF40C(2.0)-60DS-0.4V(51),
J5,PinHeader_1x06_P2.54mm_Vertical,1,JTAG,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
L1,INDC2016X100N,1,TFM201610ALM-R47MTAA,C501954
"LED1, LED2, LED3, LED4",0603,4,150060VS55040,C6390388
"Q2, Q3, Q4, Q5",SOT-723,4,NTK3134NT1G,C97777
R1,0402,1,1.6k_1%,
"R2, R3, R68, R69, R72, R74, R76, R77, R78, R79, R80",0402,11,4.7k,
"R43, R44, R45, R46, R47",0402,5,22,
R52,0603,1,0_1608,
"R53, R54",0603,2,<DNP>_R_1608,
"R57, R58, R63, R64",0402,4,2.2k,
R59,0402,1,1M,
R60,0402,1,22.6k_1%,
R61,0402,1,100k_1%,
R62,0402,1,200k,
R67,0402,1,100k,
"R70, R71, R73, R75",0402,4,100,
"RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9",RES_YC104_YAG,9,YC104-JR-0722RL,
SW1,B3U-1100P,1,B3U-1100P,C6467298
"SW2, SW4",B3U-1100P,2,B3U-1100P,
SW3,218-2LP_CTS,1,218-2LPSTR,
U1,QFN-76-1EP_9x9mm_P0.4mm_EP5.81x6.31mm,1,FT601Q,
U2,USON-10_2.5x1.0mm_P0.5mm,1,TPD4E05U06DQA,
U3,SOT-666,1,USBLC6-2P6,
U4,DMQ0006A,1,TPS62826DMQR,C2073319
U5,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306DC,
X1,XTAL_ABM8-30.000MHz-D1X-T,1,ABM8-30.000MHZ-D1X-T,
