Designator,Mid X,Mid Y,Rotation,Layer
C1,120.8,-100.2,0.0,top
C10,122.8,-103.9,0.0,top
C11,165.7,-110.1,270.0,top
C12,174.3,-109.1,270.0,top
C15,115.675,-90.85,180.0,top
C16,135.6,-99.3,180.0,top
C17,127.2,-93.4,270.0,top
C18,135.5,-104.1,180.0,top
C19,121.6,-97.2,0.0,top
C2,120.8,-101.2,0.0,top
C20,124.4,-94.1,270.0,top
C21,121.2,-104.6,90.0,top
C22,122.8,-101.6,0.0,top
C23,132.8,-94.1,180.0,top
C24,128.7,-106.5,90.0,top
C25,134.2,-94.3,270.0,top
C3,122.5,-91.0,0.0,top
C4,120.4,-91.0,0.0,top
C5,122.7,-106.6,0.0,top
C6,119.4,-88.7,180.0,top
C7,129.7,-106.5,90.0,top
C71,120.1625,-111.062499,0.0,top
C72,122.5125,-111.837499,270.0,top
C73,122.0,-116.022499,180.0,top
C74,166.1,-85.7,180.0,top
C77,177.3,-105.0,90.0,top
C8,122.8,-99.6,0.0,top
C9,122.8,-105.0,0.0,top
FB1,118.025,-91.75,90.0,top
FB2,117.6,-99.6,0.0,top
J1,112.689693,-99.999991,270.0,top
J10,181.6825,-100.0,0.0,top
J2,170.0,-100.0,90.0,top
J3,150.000001,-107.0,0.0,top
J4,150.0,-93.0,0.0,top
J5,144.85,-84.4,270.0,top
J6,126.17,-115.1,90.0,top
J7,155.16,-115.5,270.0,top
L1,121.0125,-109.062499,0.0,top
LED1,175.8,-113.2,270.0,top
LED2,177.7,-113.2,270.0,top
LED3,179.7,-113.2,270.0,top
LED4,181.5,-113.2,270.0,top
Q2,175.8,-110.7,270.0,top
Q3,177.7,-110.6875,270.0,top
Q4,179.6,-110.7,270.0,top
Q5,181.5,-110.7,270.0,top
R1,120.8,-99.2,180.0,top
R2,122.6,-88.1,0.0,top
R3,122.6,-89.1,0.0,top
R43,135.5,-105.9,0.0,top
R44,132.7,-91.2,0.0,top
R45,132.7,-90.2,0.0,top
R46,125.6,-91.2,90.0,top
R47,124.5,-91.2,90.0,top
R52,126.5,-85.7,270.0,top
R53,124.15,-85.7,270.0,top
R54,121.9,-85.7,270.0,top
R57,172.9,-86.65,180.0,top
R58,172.9,-87.725,180.0,top
R59,115.675,-92.075,0.0,top
R60,122.0,-113.872499,0.0,top
R61,122.0,-114.957499,180.0,top
R62,172.9,-85.6,180.0,top
R63,166.1,-86.725,0.0,top
R64,166.1,-87.775,0.0,top
R67,120.4,-115.4,90.0,top
R68,119.0,-115.4,270.0,top
R69,175.8,-109.0,180.0,top
R70,175.9,-115.4,180.0,top
R71,177.8,-115.4,0.0,top
R72,177.7,-109.0,180.0,top
R73,179.7,-115.4,180.0,top
R74,179.6,-109.0,180.0,top
R75,181.6,-115.4,0.0,top
R76,181.5,-109.0,180.0,top
R77,169.6,-110.6,0.0,top
R78,167.6,-110.6,0.0,top
R79,173.7,-110.6,180.0,top
R80,171.7,-110.6,180.0,top
RN1,132.7,-92.7,0.0,top
RN2,125.4,-106.6,270.0,top
RN3,127.3,-106.6,270.0,top
RN4,131.1,-106.7,270.0,top
RN5,133.0,-106.7,270.0,top
RN6,135.55,-102.7,0.0,top
RN7,135.55,-100.8,0.0,top
RN8,135.55,-97.8,0.0,top
RN9,135.55,-95.9,0.0,top
SW1,167.9487,-113.543,270.0,top
SW2,172.3522,-113.543,270.0,top
SW3,162.9,-112.3,270.0,top
SW4,179.747799,-86.7,90.0,top
U1,129.0,-100.0,0.0,top
U2,117.3,-103.9,270.0,top
U3,117.8,-97.0,0.0,top
U4,120.1625,-113.162499,90.0,top
U5,169.5,-87.0,180.0,top
X1,121.4,-93.4,90.0,top
